Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A0A0R4ITC5|TRRAP_DANRE	A0A0R4ITC5	TRRAP_DANRE	trrap	3841	false	false	Danio rerio	Transformation/transcription domain-associated protein	3:Protein inferred from homology	0.26	1.0000	0.9988	0.00000000000000	1	1	1	1	1	1	366193.88	366193.88	366193.88	8C(57.0215)		
sp|A0MTA1|APEX1_DANRE	A0MTA1	APEX1_DANRE	apex1	310	false	false	Danio rerio	DNA-(apurinic or apyrimidinic site) endonuclease	1:Experimental evidence at protein level	3.23	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1423939.2	1423939.2	1423939.2			
sp|A1L1F4|PDS5A_DANRE	A1L1F4	PDS5A_DANRE	pds5a	1320	false	false	Danio rerio	Sister chromatid cohesion protein PDS5 homolog A	2:Experimental evidence at transcript level	0.91	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	2108406.0	0	0			
sp|A3QK16|ERLN2_DANRE	A3QK16	ERLN2_DANRE	erlin2	331	false	false	Danio rerio	Erlin-2	2:Experimental evidence at transcript level	10.27	1.0000	0.9988	0.00000000000000	4	3	3	4	3	3	5737874.5	2145829.2	2145829.2			
sp|A5PLC8|PTMAB_DANRE	A5PLC8	PTMAB_DANRE	ptmab	106	false	false	Danio rerio	Prothymosin alpha-B	1:Experimental evidence at protein level	13.21	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	430756.8	430756.8	430756.8	N-term(42.0106)		
sp|A5WUL3|MED22_DANRE	A5WUL3	MED22_DANRE	med22	198	false	false	Danio rerio	Mediator of RNA polymerase II transcription subunit 22	2:Experimental evidence at transcript level	5.56	1.0000	0.9989	0.00000000000000	1	1	1	1	1	1	768185.7	768185.7	768185.7			
sp|A9JRE2|MTNA_DANRE	A9JRE2	MTNA_DANRE	mri1	353	false	false	Danio rerio	Methylthioribose-1-phosphate isomerase	2:Experimental evidence at transcript level	3.97	1.0000	0.9988	0.00000000000000	1	1	1	1	1	1	500179.25	500179.25	500179.25			
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	false	false	Danio rerio	Single-stranded DNA-binding protein, mitochondrial	1:Experimental evidence at protein level	41.78	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	6105200.5	6105200.5	6105200.5			
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	false	false	Danio rerio	Catenin beta-1	1:Experimental evidence at protein level	1.28	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	0	0	0	5C(57.0215)		
sp|F1QGW6|IF2G_DANRE	F1QGW6	IF2G_DANRE	eif2s3	472	false	false	Danio rerio	Eukaryotic translation initiation factor 2 subunit 3	3:Protein inferred from homology	2.33	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|F1QNV4|NU133_DANRE	F1QNV4	NU133_DANRE	nup133	1136	false	false	Danio rerio	Nuclear pore complex protein Nup133	2:Experimental evidence at transcript level	1.06	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0			
