Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	false	false	Danio rerio	Catenin beta-1	1:Experimental evidence at protein level	1.28	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	878365.8	0	878365.8	5C(57.0215)		
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	false	false	Danio rerio	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	1.93	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	2338765.5	0	2338765.5			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	14.57	1.0000	0.9990	0.00000000000000	8	3	3	10	3	3	3.97399328E8	1.2910488E7	1.2910488E7			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	9.76	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1166993.2	1166993.2	1166993.2	12C(57.0215),23C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	49.78	1.0000	0.9990	0.00000000000000	8	8	8	12	12	12	9.9540646E8	9.9540646E8	9.9540646E8	12C(57.0215),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),9C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	4.67	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	1128385.2	1128385.2	1128385.2			
sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	false	false	Bos taurus	Kappa-casein	1:Experimental evidence at protein level	5.26	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	604154.6	604154.6	604154.6			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	28.74	1.0000	0.9989	0.00000000000000	15	7	7	20	7	7	1.8844844E10	9357802.0	9357802.0	10C(57.0215),11C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),22C(57.0215),30C(57.0215),3C(57.0215)		
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	false	Bos taurus	Albumin	1:Experimental evidence at protein level	90.77	1.0000	0.9990	0.00000000000000	113	105	113	207	194	207	3.00188385E10	2.44981801E10	3.00188385E10	10C(57.0215),11C(57.0215),10C(57.0215),11C(57.0215),10C(57.0215),18C(57.0215),9C(57.0215),10C(57.0215),18C(57.0215),9C(57.0215),10C(57.0215),18C(57.0215),9C(57.0215),10C(57.0215),18C(57.0215),9C(57.0215),10C(57.0215),1C(57.0215),2C(57.0215),10C(57.0215),1C(57.0215),2C(57.0215),10C(57.0215),1C(57.0215),2C(57.0215),10C(57.0215),20C(57.0215),6M(15.9949),9C(57.0215),10C(57.0215),20C(57.0215),9C(57.0215),10C(57.0215),2C(57.0215),3C(57.0215),10C(57.0215),2C(57.0215),3C(57.0215),10C(57.0215),2C(57.0215),3C(57.0215),10C(57.0215),2C(57.0215),3C(57.0215),10C(57.0215),2C(57.0215),3C(57.0215),10C(57.0215),6M(15.9949),9C(57.0215),10C(57.0215),6M(15.9949),9C(57.0215),10C(57.0215),6M(15.9949),9C(57.0215),10C(57.0215),9C(57.0215),10C(57.0215),9C(57.0215),10C(57.0215),9C(57.0215),10C(57.0215),9C(57.0215),10C(57.0215),9C(57.0215),10C(57.0215),9C(57.0215),10M(15.9949),10M(15.9949),12C(57.0215),1C(57.0215),2C(57.0215),10M(15.9949),12C(57.0215),1C(57.0215),2C(57.0215),11C(57.0215),11C(57.0215),11C(57.0215),11C(57.0215),11C(57.0215),24C(57.0215),2C(57.0215),11C(57.0215),24C(57.0215),2C(57.0215),11C(57.0215),2C(57.0215),11C(57.0215),2C(57.0215),11M(15.9949),14C(57.0215),15C(57.0215),11M(15.9949),14C(57.0215),15C(57.0215),11M(15.9949),14C(57.0215),15C(57.0215),12C(57.0215),13C(57.0215),12C(57.0215),13C(57.0215),12C(57.0215),13C(57.0215),21C(57.0215),12C(57.0215),13C(57.0215),21C(57.0215),12C(57.0215),1C(57.0215),2C(57.0215),12C(57.0215),1C(57.0215),2C(57.0215),12C(57.0215),1C(57.0215),2C(57.0215),12C(57.0215),1C(57.0215),2C(57.0215),12C(57.0215),21C(57.0215),12C(57.0215),21C(57.0215),13C(57.0215),14C(57.0215),22C(57.0215),13C(57.0215),14C(57.0215),22C(57.0215),13C(57.0215),14C(57.0215),22C(57.0215),3M(15.9949),13C(57.0215),14C(57.0215),22C(57.0215),3M(15.9949),13C(57.0215),5C(57.0215),6C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),15C(57.0215),14C(57.0215),15C(57.0215),14C(57.0215),15C(57.0215),14C(57.0215),15C(57.0215),14M(15.9949),16C(57.0215),5C(57.0215),6C(57.0215),14M(15.9949),16C(57.0215),5C(57.0215),6C(57.0215),16C(57.0215),17C(57.0215),3C(57.0215),17C(57.0215),8C(57.0215),9C(57.0215),17C(57.0215),8C(57.0215),9C(57.0215),1C(57.0215),1C(57.0215),1C(57.0215),2C(57.0215),1M(15.9949),3C(57.0215),1M(15.9949),3C(57.0215),21C(57.0215),21C(57.0215),21C(57.0215),21C(57.0215),23C(57.0215),24C(57.0215),23C(57.0215),24C(57.0215),32C(57.0215),24C(57.0215),24C(57.0215),25C(57.0215),2C(57.0215),2C(57.0215),2C(57.0215),2C(57.0215),2C(57.0215),3C(57.0215),2C(57.0215),3C(57.0215),30C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3C(57.0215),3M(15.9949),3M(15.9949),4C(57.0215),5C(57.0215),4C(57.0215),5C(57.0215),4C(57.0215),5C(57.0215),4C(57.0215),5C(57.0215),6C(57.0215),6C(57.0215),6C(57.0215),6C(57.0215),6C(57.0215),8C(57.0215),8C(57.0215),8C(57.0215),8C(57.0215),9C(57.0215),8C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215),9C(57.0215)		
sp|P02788|TRFL_HUMAN	P02788	TRFL_HUMAN	LTF	710	false	false	Homo sapiens	Lactotransferrin	1:Experimental evidence at protein level	9.72	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	2381759.5	2381759.5	2381759.5	10C(57.0215),4C(57.0215),8C(57.0215)		
