Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	false	false	Danio rerio	Single-stranded DNA-binding protein, mitochondrial	1:Experimental evidence at protein level	13.70	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	233549.12	233549.12	233549.12			
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	false	false	Danio rerio	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	3.72	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	0	0	0			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	12.14	1.0000	0.9990	0.00000000000000	6	1	2	6	1	3	1.324433E7	2794730.5	5310283.5			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	9.76	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	1.2321744E7	1.2321744E7	1.2321744E7	12C(57.0215),23C(57.0215),12C(57.0215),23C(57.0215)		
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	58.87	1.0000	0.9990	0.00000000000000	15	15	15	26	26	26	4.02413824E9	4.02413824E9	4.02413824E9	10C(57.0215),17C(57.0215),11M(15.9949),13C(57.0215),11M(15.9949),13C(57.0215),12C(57.0215),12C(57.0215),12C(57.0215),23C(57.0215),13C(57.0215),13C(57.0215),17M(15.9949),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),30C(57.0215),41C(57.0215),9C(57.0215),2C(57.0215),30C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),37M(15.9949),9C(57.0215)		
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	10.28	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	806434.0	806434.0	806434.0			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	2.46	1.0000	0.9989	0.00000000000000	2	1	1	1	0	0	1548143.5	176267.44	176267.44			
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	false	Bos taurus	Albumin	1:Experimental evidence at protein level	2.47	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	1371876.0	0	1371876.0			
sp|P02788|TRFL_HUMAN	P02788	TRFL_HUMAN	LTF	710	false	false	Homo sapiens	Lactotransferrin	1:Experimental evidence at protein level	2.68	1.0000	0.9990	0.00000000000000	2	2	2	1	1	1	136097.02	136097.02	136097.02			
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	52.02	1.0000	0.9990	0.00000000000000	29	27	29	33	31	33	7.2861152E7	7.2861152E7	7.2861152E7	1M(15.9949),5C(57.0215),22M(15.9949),4C(57.0215),4C(57.0215),4C(57.0215),5C(57.0215),7M(15.9949)		
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	false	false	Homo sapiens	Cathepsin D	1:Experimental evidence at protein level	1.94	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	340487.75	340487.75	340487.75			
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	false	false	Homo sapiens	Thioredoxin	1:Experimental evidence at protein level	49.52	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	2181701.0	2181701.0	2181701.0	14C(57.0215),21C(57.0215),24C(57.0215),27C(57.0215),24C(57.0215),27C(57.0215)		
sp|P13104|TPM1_DANRE	P13104	TPM1_DANRE	tpma	284	false	false	Danio rerio	Tropomyosin alpha-1 chain	2:Experimental evidence at transcript level	4.93	1.0000	0.9990	0.00000000000000	3	0	3	2	0	2	4452310.0	0	4452310.0			
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	49.66	1.0000	0.9990	0.00000000000000	28	23	28	35	31	35	1.60890144E8	1.60890144E8	1.60890144E8	11M(15.9949),26C(57.0215),26M(15.9949),3M(15.9949),5C(57.0215),5C(57.0215),5M(15.9949),7C(57.0215)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	40.45	1.0000	0.9990	0.00000000000000	18	18	18	16	16	16	3.3894984E7	3.3894984E7	3.3894984E7	1M(15.9949),5M(15.9949)		
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	46.17	1.0000	0.9990	0.00000000000000	22	21	21	25	24	24	5.6413356E7	5.6413356E7	5.6413356E7	1M(15.9949),23M(15.9949),23M(15.9949),7C(57.0215)		
sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	false	false	Homo sapiens	Lysozyme C	1:Experimental evidence at protein level	39.86	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	5511980.0	5511980.0	5511980.0	12C(57.0215),26C(57.0215),8C(57.0215),15C(57.0215),19C(57.0215),33C(57.0215),3C(57.0215),9C(57.0215)		
sp|P62247|RS8_DANRE	P62247	RS8_DANRE	rps8	208	false	false	Danio rerio	40S ribosomal protein S8	1:Experimental evidence at protein level	7.21	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	1151361.9	0	1151361.9			
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	false	false	Danio rerio	GTP-binding nuclear protein Ran	2:Experimental evidence at transcript level	13.95	1.0000	0.9990	0.00000000000000	3	3	3	2	2	2	1711402.5	1711402.5	1711402.5	9C(57.0215)		
sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	false	false	Homo sapiens	Peroxiredoxin-1	1:Experimental evidence at protein level	5.53	1.0000	0.9984	0.00000000000000	3	1	1	1	1	1	975594.5	273175.12	273175.12			
sp|Q58EE9|GFAP_DANRE	Q58EE9	GFAP_DANRE	gfap	444	false	false	Danio rerio	Glial fibrillary acidic protein	1:Experimental evidence at protein level	2.48	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	5843561.0	0	0			
sp|Q5MJ86|G3P2_DANRE	Q5MJ86	G3P2_DANRE	gapdh-2	335	false	false	Danio rerio	Glyceraldehyde-3-phosphate dehydrogenase 2	2:Experimental evidence at transcript level	6.57	1.0000	0.9990	0.00000000000000	3	2	3	2	1	2	2155394.0	1220486.9	2155394.0	13C(57.0215),13C(57.0215),13M(15.9949)		
sp|Q5PRD0|143BA_DANRE	Q5PRD0	143BA_DANRE	ywhaba	244	false	false	Danio rerio	14-3-3 protein beta/alpha-A	2:Experimental evidence at transcript level	5.74	1.0000	0.9990	0.00000000000000	2	0	2	1	0	1	1302007.9	0	1302007.9			
sp|Q5TZ66|SN25A_DANRE	Q5TZ66	SN25A_DANRE	snap25a	204	false	false	Danio rerio	Synaptosomal-associated protein 25-A	2:Experimental evidence at transcript level	14.22	1.0000	0.9990	0.00000000000000	3	1	1	2	0	0	1933898.5	771953.06	771953.06	11M(15.9949)		
sp|Q5XJ10|G3P_DANRE	Q5XJ10	G3P_DANRE	gapdh	333	false	false	Danio rerio	Glyceraldehyde-3-phosphate dehydrogenase	2:Experimental evidence at transcript level	6.61	1.0000	0.9990	0.00000000000000	3	2	2	2	1	1	1891461.0	956553.75	956553.75			
sp|Q6BEA0|PLXA4_DANRE	Q6BEA0	PLXA4_DANRE	plxna4	1903	false	false	Danio rerio	Plexin-A4	2:Experimental evidence at transcript level	0.68	1.0000	0.9989	0.00000000000000	1	1	1	1	1	1	94091.08	94091.08	94091.08			
sp|Q6NSN2|AOF_DANRE	Q6NSN2	AOF_DANRE	mao	522	false	false	Danio rerio	Amine oxidase [flavin-containing]	1:Experimental evidence at protein level	4.02	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0	N-term(42.0106)		
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	false	false	Danio rerio	Keratin, type II cytoskeletal 8	1:Experimental evidence at protein level	2.12	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	5843561.0	0	0			
sp|Q6P026|BAF_DANRE	Q6P026	BAF_DANRE	banf1	90	false	false	Danio rerio	Barrier-to-autointegration factor	1:Experimental evidence at protein level	28.89	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	1825530.8	1825530.8	1825530.8	3M(15.9949)		
sp|Q6PBW5|RP65A_DANRE	Q6PBW5	RP65A_DANRE	rpe65a	531	false	false	Danio rerio	Retinoid isomerohydrolase	2:Experimental evidence at transcript level	3.20	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|Q6PBY1|RS3A_DANRE	Q6PBY1	RS3A_DANRE	rps3a	267	false	false	Danio rerio	40S ribosomal protein S3a	1:Experimental evidence at protein level	6.37	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	2355064.8	2355064.8	2355064.8			
