Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	41.99	1.0000	0.9990	0.00000000000000	10	10	10	15	15	15	2.63452851E9	2.63452851E9	2.63452851E9	12C(57.0215),12C(57.0215),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),37M(15.9949),9C(57.0215)		
sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	false	false	Oryctolagus cuniculus	Fructose-bisphosphate aldolase A	1:Experimental evidence at protein level	3.57	1.0000	0.9977	0.00000000000000	1	1	1	1	1	1	0	0	0			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	2.46	1.0000	0.9989	0.00000000000000	1	0	0	1	0	0	1315318.8	0	0			
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	false	false	Bos taurus	Albumin	1:Experimental evidence at protein level	2.47	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	1315318.8	0	1315318.8			
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	false	false	Homo sapiens	Keratin, type II cytoskeletal 1	1:Experimental evidence at protein level	46.43	1.0000	0.9990	0.00000000000000	24	20	24	21	19	21	4.585632E7	4.585632E7	4.585632E7	1M(15.9949),5C(57.0215),1M(15.9949),5C(57.0215),22M(15.9949),4C(57.0215),5C(57.0215),N-term(42.0106)		
sp|P10599|THIO_HUMAN	P10599	THIO_HUMAN	TXN	105	false	false	Homo sapiens	Thioredoxin	1:Experimental evidence at protein level	33.33	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	3503500.8	3503500.8	3503500.8	24C(57.0215),27C(57.0215)		
sp|P13645|K1C10_HUMAN	P13645	K1C10_HUMAN	KRT10	584	false	false	Homo sapiens	Keratin, type I cytoskeletal 10	1:Experimental evidence at protein level	37.84	1.0000	0.9990	0.00000000000000	22	19	22	22	21	22	6.5222496E7	6.5222496E7	6.5222496E7	11M(15.9949),26C(57.0215),26M(15.9949),5C(57.0215),5C(57.0215),7C(57.0215)		
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	false	false	Homo sapiens	Keratin, type I cytoskeletal 9	1:Experimental evidence at protein level	28.25	1.0000	0.9990	0.00000000000000	11	10	10	10	10	10	7.56312E7	7.56312E7	7.56312E7	5M(15.9949)		
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	false	false	Homo sapiens	Keratin, type II cytoskeletal 2 epidermal	1:Experimental evidence at protein level	41.63	1.0000	0.9990	0.00000000000000	18	16	16	20	19	19	3.7842228E7	3.7842228E7	3.7842228E7	1M(15.9949),23M(15.9949),23M(15.9949)		
sp|P61626|LYSC_HUMAN	P61626	LYSC_HUMAN	LYZ	148	false	false	Homo sapiens	Lysozyme C	1:Experimental evidence at protein level	8.11	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	2316659.2	2316659.2	2316659.2			
sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	false	false	Homo sapiens	Peroxiredoxin-1	1:Experimental evidence at protein level	7.54	1.0000	0.9984	0.00000000000000	1	1	1	1	1	1	1961686.0	1961686.0	1961686.0	N-term(42.0106)		
sp|Q58EE9|GFAP_DANRE	Q58EE9	GFAP_DANRE	gfap	444	false	false	Danio rerio	Glial fibrillary acidic protein	1:Experimental evidence at protein level	2.48	1.0000	0.9990	0.00000000000000	1	0	0	1	0	0	1585750.2	0	0			
