Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A0A8M2BID5|DESPA_DANRE	A0A8M2BID5	DESPA_DANRE	dspa	2059	false	false	Danio rerio	Desmoplakin-A	2:Experimental evidence at transcript level	0.34	1.0000	0.9963	0.00000000000000	1	1	1	1	1	1	2925589.8	2925589.8	2925589.8			
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	false	false	Danio rerio	Catenin beta-1	1:Experimental evidence at protein level	1.28	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	2259522.5	0	2259522.5	5C(57.0215)		
sp|F1QGH9|PS11B_DANRE	F1QGH9	PS11B_DANRE	psmd11b	422	false	false	Danio rerio	26S proteasome non-ATPase regulatory subunit 11B	2:Experimental evidence at transcript level	2.37	1.0000	0.9983	0.00000000000000	1	1	1	1	1	1	907978.8	907978.8	907978.8	N-term(42.0106)		
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	false	false	Danio rerio	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	3.59	1.0000	0.9990	0.00000000000000	2	0	2	2	0	2	1.2150382E7	0	1.2150382E7			
sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	false	false	Ovis aries	Keratin, type I cytoskeletal 15	2:Experimental evidence at transcript level	12.36	1.0000	0.9990	0.00000000000000	8	3	3	10	3	3	8.7500813E8	2.1927636E7	2.1927636E7			
sp|P00760|TRY1_BOVIN	P00760	TRY1_BOVIN	PRSS1	246	false	false	Bos taurus	Serine protease 1	1:Experimental evidence at protein level	8.13	1.0000	0.9990	0.00000000000000	1	1	1	2	2	2	6027207.0	6027207.0	6027207.0			
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	false	Sus scrofa	Trypsin	1:Experimental evidence at protein level	49.78	1.0000	0.9990	0.00000000000000	8	8	8	12	12	12	8.2902342E8	8.2902342E8	8.2902342E8	12C(57.0215),12C(57.0215),17M(15.9949),17M(15.9949),2C(57.0215),2C(57.0215),2C(57.0215),9C(57.0215),2C(57.0215),9C(57.0215),9C(57.0215)		
sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	false	false	Oryctolagus cuniculus	Fructose-bisphosphate aldolase A	1:Experimental evidence at protein level	7.14	1.0000	0.9977	0.00000000000000	1	0	0	1	0	0	0	0	0			
sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	false	false	Bos taurus	Alpha-S1-casein	1:Experimental evidence at protein level	10.28	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	375663.66	375663.66	375663.66			
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	false	false	Homo sapiens	Albumin	1:Experimental evidence at protein level	23.32	1.0000	0.9989	0.00000000000000	16	8	8	19	8	8	1.21829212E10	7610790.0	7610790.0	10C(57.0215),11C(57.0215),13C(57.0215),5C(57.0215),6C(57.0215),14C(57.0215),22C(57.0215)		
